Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,73.00904403686523,368.4276256487645,0.05347912073135376,74.70110893249512,1.4462539958381964,0.6852025714316671,0.0035206958841892,2.1723501580618505
imbalance_prices - Short_t+15min,73.09217376708985,368.45668891117924,0.05332997560501099,74.88089714050292,1.3586305515133168,0.6647060332995574,0.0034163758560836533,2.0316862778273865
imbalance_volumes - value_t+15min,23.709851531982423,32.19625992874706,0.20775519251823427,123.64106323242187,0.18260623281596147,0.2185937923713818,0.01075236019290898,1.2875225880386925
imbalance_prices - Long_t+30min,72.6348804473877,372.4671937093497,0.032610689401626584,73.58455894470215,1.2385873602850936,0.5085988416648879,0.002643539749549559,2.1042471238238654
imbalance_prices - Short_t+30min,72.6504702758789,372.4366312159369,0.032769483923912046,73.51231491088868,1.2093665192272092,0.5033733944799846,0.002615340409430326,2.0913493681813735
imbalance_volumes - value_t+30min,25.320368347167967,34.29913592615849,0.10090792953968047,132.97134384155274,0.1722286469799429,0.2037545823824862,0.010687559492321986,1.2723355549925852
imbalance_prices - Long_t+45min,72.59818801879882,374.4596447003012,0.022233360409736634,73.14646125793458,1.1215156242524815,0.48375838411707683,0.002526405289641675,2.0517562612025606
imbalance_prices - Short_t+45min,72.58029975891114,374.52125443664596,0.02191191554069519,72.99445724487305,1.0304999122664245,0.43280359408041313,0.0022609202943352663,1.9076712660186748
imbalance_volumes - value_t+45min,26.281156158447267,35.54788955732023,0.03427503168582916,139.11743621826173,0.1757955746625463,0.21223656248241557,0.011537492131139858,1.3385240114032937
imbalance_prices - Long_t+60min,72.3107103729248,375.57817539973723,0.016383569240570068,72.4998250579834,0.9312395423865222,0.44152537238886846,0.00231267688666068,2.027250743459753
imbalance_prices - Short_t+60min,72.29456909179687,375.5916929538224,0.016312875747680665,72.41958877563476,0.8875210374094972,0.42374412276076445,0.0022190484774984058,1.9484074347769038
imbalance_volumes - value_t+60min,27.014784030914306,36.41325571741992,-0.013309922814369202,146.03337326049805,0.17665233077720188,0.22495323119286395,0.012536014901218686,1.3182659914770227
imbalance_prices - Long_t+75min,72.32807006835938,376.6217752894252,0.010908404588699341,72.24532646179199,0.9024930654128531,0.6363492293460454,0.003341584497446558,1.967666227165859
imbalance_prices - Short_t+75min,72.3377466583252,376.6018633843024,0.01101333498954773,72.37403945922851,0.8518017685199918,0.5970724169857126,0.0031348477711853643,1.7965561650385315
imbalance_volumes - value_t+75min,27.27801580429077,36.68732419415126,-0.02860443353652954,149.3610090637207,0.1667371337518355,0.20410058173037612,0.011455213043912645,1.4539035536289304
