Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,155.54517837524415,806.4949570831664,-0.011133556962013244,38.47687335968018,1.6559199746374855,4.9050177799248456,0.012290571402201671,0.534893590867813
imbalance_prices - Short_t+15min,155.39225433349608,806.241544037943,-0.01049851357936859,38.44037502288818,1.7585641458549446,4.921906877779202,0.012327901476923172,0.5625366254675912
imbalance_volumes - value_t+15min,110.24071388244629,202.15115503705343,-0.6258004546165467,97.93078216552735,5.0673417390576265,14.258140136565027,0.23090978821632094,3.6742153031802243
imbalance_prices - Long_t+30min,164.56313690185547,804.3174497916284,-0.005680288672447204,40.73026676177979,1.2502057415347767,3.8017214115918114,0.009502887806763427,0.4758161920091431
imbalance_prices - Short_t+30min,164.61655746459962,804.4221987971547,-0.005943004488945008,40.73799201965332,1.4358281358148894,3.865046228788444,0.009657485092172973,0.5435357118358511
imbalance_volumes - value_t+30min,114.82060905456542,196.21115144159327,-0.5279143512248993,101.7299301147461,3.91299977580904,9.61551821739871,0.150459956768546,3.2891190909498813
imbalance_prices - Long_t+45min,171.518243560791,799.8451920896955,0.0054696637392044065,42.464132118225095,1.5560211310816412,2.767546927838871,0.006877525969170741,0.6328039127038678
imbalance_prices - Short_t+45min,171.6147898864746,799.582630094373,0.006122112870216369,42.500422668457034,1.6355130419342754,2.8109431451566715,0.00698457124502042,0.6337281050358711
imbalance_volumes - value_t+45min,118.4850478363037,194.18772586701823,-0.49564107179641725,104.95978393554688,4.211882792142263,8.033893870396549,0.12357867815496766,3.0022028732619686
imbalance_prices - Long_t+60min,178.96172637939452,794.2628938700078,0.01933108448982239,44.365829963684085,1.5975886155474024,1.6899840948984441,0.004173179418355567,0.7431587983578637
imbalance_prices - Short_t+60min,178.96417739868164,794.3940029552988,0.019006921648979186,44.3598734664917,1.6121789580649803,1.7610206293132578,0.004347178788860962,0.7291306255996142
imbalance_volumes - value_t+60min,123.34471961975098,196.5522938310801,-0.5344043803215027,108.32208236694336,4.221146602082037,10.859673498349247,0.1696608966529358,2.7940192538538553
imbalance_prices - Long_t+75min,184.99685821533203,794.9919218239418,0.017529915571212768,45.849981994628905,1.7996124671645697,1.6809178075881799,0.004153815180165895,0.8252910612654878
imbalance_prices - Short_t+75min,184.96135665893556,795.1135337540229,0.01722872316837311,45.82461875915527,1.7197526817101785,1.789466733527032,0.004421616529228744,0.794174822520802
imbalance_volumes - value_t+75min,127.2368392944336,198.44286212571296,-0.5674208700656891,111.50017082214356,4.393752842478775,14.220653123591404,0.22675278217680764,2.8270504985136475
