Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,838.1207214355469,1506.2985222329628,0.24512707233428954,107.1647575378418,9.843632033191863,9.314071010653976,0.009368609524193204,2.413561683572336
imbalance_prices - Short_t+15min,805.3306640625,1471.127488868974,0.23831047534942626,101.24192535400391,8.67030401021487,8.29798132477059,0.0086167088963486,2.340168714176617
imbalance_volumes - value_t+15min,22.142562866210938,28.632105086148094,0.51816790163517,95.5756681060791,0.5237744386553762,0.6310467152808299,0.02135672521938995,1.283683497789982
imbalance_prices - Long_t+30min,864.8495520019532,1559.816249265583,0.19052235841751097,108.97428413391113,9.58036169114955,9.53826645924628,0.009921852086337475,2.3490208785440507
imbalance_prices - Short_t+30min,828.7241912841797,1519.4104636191194,0.18748146593570708,102.92584022521973,8.172559360232919,8.384392925656016,0.008987534098507482,2.1348495803131944
imbalance_volumes - value_t+30min,24.177820415496825,31.441315676478375,0.4189727663993835,101.36070205688476,0.5650647807247798,0.6957585134146552,0.02581242942518163,1.3028092321634512
imbalance_prices - Long_t+45min,886.6296649169922,1590.4694726481434,0.1583755522966385,111.67642105102539,10.56559493958871,7.009035192953363,0.007424906920200672,2.458866783924987
imbalance_prices - Short_t+45min,848.8059161376954,1547.6589702864783,0.1569644618034363,105.35343193054199,8.221289903067609,6.559282872329598,0.007154771451762959,2.392168852011352
imbalance_volumes - value_t+45min,26.033501796722412,34.054448932825444,0.3184208136796951,107.03760482788086,0.5477773133733005,0.6718657853600929,0.026965168275953032,1.4621320717354478
imbalance_prices - Long_t+60min,917.4986932373047,1637.4932767909818,0.10784526765346528,115.13712081909179,11.582679048421596,7.236951314839826,0.007897327571833672,2.401638083506806
imbalance_prices - Short_t+60min,879.6925280761719,1592.5235430429445,0.10735123217105866,108.64814094543458,9.865335829496825,6.960054162384365,0.007810847690791849,2.2393086529792807
imbalance_volumes - value_t+60min,28.82623712539673,37.73005300146563,0.16329142212867737,113.96915641784668,0.5560086732962038,0.692608801493271,0.030658667445858205,1.3883542940572968
imbalance_prices - Long_t+75min,939.0313354492188,1652.2101565638281,0.09166746377944947,117.23662811279297,12.503531179898404,6.156179604870241,0.006776529684572001,2.241474619171137
imbalance_prices - Short_t+75min,900.3310388183594,1607.6374189068,0.09025593400001526,110.84280662536621,11.956822682276822,6.435590934996287,0.0072845108051883024,2.345811997372036
imbalance_volumes - value_t+75min,31.17769260406494,40.69989931674842,0.02619260787963867,118.44345779418946,0.5399533216057214,0.6776818836653048,0.03250104234289255,1.01673668556712
