Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,143.14386825561525,351.0481800785173,0.14124365091323854,119.2907357788086,0.8889767011500339,0.6111192076242499,0.0029905626769596394,0.9524750162717954
imbalance_prices - Short_t+15min,143.13228286743163,351.09022277254604,0.1410382044315338,119.3496321105957,0.8660264514944489,0.5805480376622574,0.0028415702567581185,0.9127132811777153
imbalance_volumes - value_t+15min,5.875549688339233,7.8720437958156175,0.3030374598503113,113.68252204895019,0.15561499210802593,0.1991974973728531,0.03531037560156048,1.6074965919632151
imbalance_prices - Long_t+30min,147.0380665588379,359.41077729629166,0.09984078168869019,122.94150413513184,0.915593354800155,0.7527807785387303,0.003772134825537882,0.8698456855419652
imbalance_prices - Short_t+30min,146.9877978515625,359.393432903746,0.09992769598960877,122.82767028808594,0.9258638561010537,0.7495277918127016,0.003755242378378517,0.8811934185683094
imbalance_volumes - value_t+30min,6.176019105911255,8.365575391794666,0.21257757246494294,116.570171585083,0.20961964845702757,0.27066613699826714,0.0510240192041941,1.8551735986862812
imbalance_prices - Long_t+45min,149.162421875,363.22379844531963,0.08064150094985961,124.89597549438477,0.9981956514480462,0.7353628891688748,0.003724675977153573,0.8181909211844922
imbalance_prices - Short_t+45min,149.15795013427734,363.216269670989,0.08067940711975098,124.88269973754883,0.9848463961482432,0.7550616971697317,0.0038235709132617693,0.8194519510707209
imbalance_volumes - value_t+45min,6.368347120285034,8.699504999702295,0.14835014760494233,118.15898551940919,0.2422746858739908,0.31112155330933433,0.061044833114610265,1.9340100983325128
imbalance_prices - Long_t+60min,152.8067593383789,368.6732927075494,0.05285178780555725,127.30064460754394,1.1106498279757586,0.5582845811998437,0.0028694210794238417,0.9255272079047915
imbalance_prices - Short_t+60min,152.78174240112304,368.6249235880298,0.05310027539730072,127.22373153686523,1.1198904586763498,0.5609063818763805,0.0028822382322639985,0.765155691903186
imbalance_volumes - value_t+60min,6.782130880355835,9.236009306797918,0.04035146951675415,123.12902221679687,0.23771423252606635,0.29866857223538906,0.062245712968598196,1.8494574259349368
imbalance_prices - Long_t+75min,154.6797982788086,370.73494883995323,0.042229772210121155,128.13196533203126,1.240306141950126,0.508572646964194,0.002627791240048798,0.8775867682077143
imbalance_prices - Short_t+75min,154.6299607849121,370.72558535861293,0.042278305888175965,128.12147254943847,1.2141514860168536,0.4859441982145934,0.0025111493800106686,0.7998622958641298
imbalance_volumes - value_t+75min,6.922756962776184,9.43387514930533,-0.0008843910694122315,125.76120742797852,0.21318179596206271,0.259893506980567,0.05510133050159299,1.7169955707579325
