Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,78.94780540466309,125.92716989380897,0.13800434231758119,82.99674896240235,3.4969402654345214,2.905364736917586,0.04017376608815376,5.681429940609367
imbalance_prices - Short_t+15min,78.97098663330078,125.84753166292495,0.13921512961387633,83.0771841430664,3.1116694905373348,2.4911611196566232,0.03429289616128594,5.926262919196339
imbalance_volumes - value_t+15min,11.554684705734253,14.981771235952392,0.48684381067752835,104.76422332763671,0.24450196957606624,0.2822003151428248,0.019347263413448435,2.143085721331272
imbalance_prices - Long_t+30min,79.9664208984375,128.79382980894184,0.09855560362339019,82.76725776672363,2.540950309440072,2.016687903083109,0.02828312811119525,4.997636802057601
imbalance_prices - Short_t+30min,80.57330871582032,129.45696311751635,0.0890823769569397,83.5394334411621,3.044912393187324,2.6787782166077876,0.03835813394134698,5.2081169345269345
imbalance_volumes - value_t+30min,12.455356693267822,16.295302989455603,0.39305428564548495,111.69666282653809,0.19441183588224745,0.20541464866058437,0.015355120599452288,1.9270117549637573
imbalance_prices - Long_t+45min,81.96654930114747,131.47244068490716,0.060592620372772216,84.1747093963623,2.568651841101119,2.328979818332225,0.03346716655432366,4.762147600925259
imbalance_prices - Short_t+45min,81.82030479431153,131.4541990546588,0.0608948814868927,83.93091484069824,2.227065164019836,2.1580237540702103,0.03091574826660241,4.53898665778258
imbalance_volumes - value_t+45min,13.170982284545898,17.28916686709626,0.31692233204841613,117.189945602417,0.17185058019797445,0.18025774651167692,0.014265577041132222,1.8287544535205813
imbalance_prices - Long_t+60min,83.96840896606446,133.43289186776641,0.031449190378189086,85.97584106445312,2.841603706798204,2.347170136294784,0.03422912982559079,5.591358637410629
imbalance_prices - Short_t+60min,83.65383926391601,133.22040973888252,0.03451330721378326,85.38278556823731,2.52803504279497,2.413497061684349,0.0354314820234685,4.400468950064814
imbalance_volumes - value_t+60min,14.037488956451416,18.468357227345965,0.22073485910892487,123.68735137939453,0.1488410599895671,0.1565879544970817,0.013245028226187176,1.8925125517918173
imbalance_prices - Long_t+75min,85.53730400085449,135.5060663909549,0.0001107865571975708,86.34280158996582,2.7932561216916407,2.579928263320058,0.03830035170190556,5.379241778266076
imbalance_prices - Short_t+75min,85.02847358703613,135.0071443470232,0.007532210946083069,85.71737922668457,2.570428470988509,2.2989167516011078,0.03391311499566853,4.763774908022143
imbalance_volumes - value_t+75min,14.50955777168274,19.14499898477528,0.1626761484146118,127.55651374816894,0.13727316594820313,0.14575773827162486,0.012752767832737173,1.6921580335993247
