Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,78.08115936279297,182.22054418374302,0.32885529458522794,105.8816446685791,0.48405493076419986,1.4091761353844292,0.01036691508023648,0.666409732787295
imbalance_prices - Short_t+15min,66.09277153015137,151.7225422465837,0.20044198036193847,25.967006759643553,0.6780045842657557,0.6837814315257025,0.007215077774658101,0.40111066220856567
imbalance_volumes - value_t+15min,18.988081684112547,26.192612763583313,0.672298738360405,87.06498420715332,0.1284913366399466,0.16607359879146028,0.004158062478459102,0.468053708150581
imbalance_prices - Long_t+30min,81.71101943969727,190.94593042871148,0.2630507230758667,108.8768154144287,0.47420985131817456,1.3316799404112585,0.010279410746613227,0.6340429530133813
imbalance_prices - Short_t+30min,67.78985778808594,155.10528519471242,0.16439277529716492,26.608875617980956,0.6035031591800764,0.70182294644713,0.007564165410203299,0.34962771658486425
imbalance_volumes - value_t+30min,21.24780735015869,29.81327599513246,0.5754425436258316,92.6143278503418,0.09878599328885324,0.1275983825813327,0.003634866260691062,0.41012149922910995
imbalance_prices - Long_t+45min,83.59213554382325,195.48737960302296,0.22758437275886537,110.5043756866455,0.5129517229457572,1.2774799435134763,0.010098776782806677,0.5768430381420233
imbalance_prices - Short_t+45min,68.75574310302734,156.44906298846476,0.14984832108020782,27.08574417114258,0.5786034791817519,0.7273175459538977,0.007899388475935331,0.3374210891647343
imbalance_volumes - value_t+45min,22.2092991065979,31.581767513488877,0.5235872316360474,94.69586769104004,0.06993550422455055,0.09857520780758391,0.002973330449293911,0.39049952268210536
imbalance_prices - Long_t+60min,86.37130981445313,201.2754360493908,0.1811679458618164,113.01890159606934,0.5789385385231546,1.2634647314391105,0.010279957369449198,0.6553926018112584
imbalance_prices - Short_t+60min,71.27830787658691,160.5084268443143,0.10510392248630523,28.186352195739747,0.670998437099919,0.7087689113074915,0.007903855632827632,0.40477203943994106
imbalance_volumes - value_t+60min,24.318180713653565,34.49858786775771,0.4315085101127625,101.41957633972169,0.10999244362505292,0.14604928713148474,0.004815634737608183,0.5435012943975286
imbalance_prices - Long_t+75min,87.6136767578125,204.40721084464997,0.15549215137958527,114.08658973693848,0.5785464190456364,1.2399307030390576,0.010237892615246564,0.6363483979003287
imbalance_prices - Short_t+75min,73.13664848327636,162.831968809673,0.07900716245174408,29.079088973999024,0.8115160593713479,0.7247116690084455,0.008194883154777172,0.5024051097126105
imbalance_volumes - value_t+75min,25.37074432373047,36.14582867833704,0.375924831032753,104.50721534729004,0.11545405978756439,0.15430212747123084,0.005330097919250431,0.5806072831821026
