Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,20.172042846679688,29.678151622516808,0.5352862864732743,59.21537055969238,0.1905693153509508,0.18002003579190326,0.005648490929530754,0.8309832607494951
imbalance_prices - Short_t+15min,24.115709838867186,31.67239932173411,0.4796172946691513,43.33200469970703,0.28598437548208794,0.25109888087206633,0.00825678173852218,0.3834967381762694
imbalance_volumes - value_t+15min,46.50473602294922,60.398323662937536,0.6203945142030716,88.76315414428711,1.7470392704803424,2.2266937847283157,0.02816826320318683,2.2484229992768094
imbalance_prices - Long_t+30min,21.907578811645507,31.572165369503065,0.47408452033996584,62.41676456451416,0.1587478032847312,0.15095473791754446,0.005035456393018907,0.7482908334677489
imbalance_prices - Short_t+30min,25.597422924041748,33.42505435610741,0.4204054087400436,44.745986328125,0.24191450938803635,0.22752292607573163,0.00789422401605569,0.37191741832450725
imbalance_volumes - value_t+30min,51.0816584777832,66.85345529382613,0.5350464349985122,94.40640609741212,1.8349582809742608,2.386643977556419,0.033302882118217726,2.2597290167975523
imbalance_prices - Long_t+45min,23.282327575683595,33.00938903317024,0.4251134264469147,65.08193473815918,0.175518309199426,0.1713203054364494,0.005971445006491595,0.6603910080981178
imbalance_prices - Short_t+45min,26.764932460784912,34.79507284016316,0.37190631568431853,45.80686325073242,0.22655473138360357,0.23425683038880132,0.00846106760034606,0.368924530893173
imbalance_volumes - value_t+45min,55.90996006011963,73.4618598491851,0.4386532664299011,99.86136657714843,2.079165693660766,2.7501706336722758,0.04215124832020357,2.403241645650683
imbalance_prices - Long_t+60min,24.482150955200197,34.24884286651719,0.3811324852705002,67.16610237121581,0.16625083003921629,0.17039017702497888,0.006158807339460033,0.5771148898344398
imbalance_prices - Short_t+60min,27.80993682861328,36.00283201185252,0.32758210122585296,46.830160789489746,0.22959369838987406,0.25830344800227684,0.009653952087382624,0.35562347201839695
imbalance_volumes - value_t+60min,60.297444877624514,79.49982539201321,0.34254080057144165,104.57438697814942,2.327524058424099,3.1876032371076293,0.05292432640819444,2.352265015720668
imbalance_prices - Long_t+75min,25.331309928894044,35.0978775399231,0.3500644689798355,68.56972175598145,0.17924286354080954,0.186168462604895,0.006899557933886827,0.5232785193547917
imbalance_prices - Short_t+75min,28.517313747406007,36.88567570278449,0.2942224371433258,47.45724655151367,0.2350383446328652,0.27149168342687263,0.010398362158180081,0.3721050587277195
imbalance_volumes - value_t+75min,63.6003466796875,84.05807226688643,0.2651930981874466,108.25004028320312,2.33682362617838,3.252096447853693,0.05701945608966041,2.1519393807706995
