Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,48.89040668487549,94.62382070453332,0.34135638177394867,53.15045604705811,0.6216171377181212,0.3228846467140292,0.004496950524185693,0.5342413734542374
imbalance_prices - Short_t+15min,48.97492370605469,94.63956472598318,0.34113708436489104,53.197162551879885,0.6982175139274692,0.3249780639716769,0.0045265692621324245,0.50279706475988
imbalance_volumes - value_t+15min,35.75517387390137,48.193287155989445,0.7285153293609619,83.0429712677002,0.41904704621657657,0.4724544814698956,0.005350172925609243,1.1275505418594411
imbalance_prices - Long_t+30min,51.471070289611816,97.77539506265579,0.296769500374794,55.4534273147583,0.6459090602993709,0.26597629303671916,0.003827327116956572,0.5056965258694238
imbalance_prices - Short_t+30min,51.45625129699707,97.74707273142585,0.2971770763397217,55.353204345703126,0.6474759152393669,0.25997103175402847,0.0037397502519442676,0.5115800195351584
imbalance_volumes - value_t+30min,39.58059913635254,53.46328365483782,0.6660386019945145,88.56549278259277,0.3013331167296752,0.31688110597230534,0.003964209760836335,0.9792797973035982
imbalance_prices - Long_t+45min,53.80257846832276,100.31815164906384,0.25994458615779875,57.32876476287842,0.6745643623585021,0.26842732918359097,0.003960915325385746,0.5544488084631919
imbalance_prices - Short_t+45min,53.80265895843506,100.30458862403827,0.2601453906297684,57.31217433929444,0.6327358717731698,0.24984171854774068,0.0036850778812351184,0.5216073037215266
imbalance_volumes - value_t+45min,43.248458786010744,58.433248416160495,0.6011869776248931,93.67109687805176,0.32265487339089116,0.3792513494486237,0.005186001830650523,1.0046663331807242
imbalance_prices - Long_t+60min,56.332973098754884,102.96148680001366,0.22066968321800232,59.2566414642334,0.6310250181380567,0.2800139382482112,0.004238371729273364,0.4984938214736515
imbalance_prices - Short_t+60min,56.337724952697755,102.97290674265176,0.2204965591430664,59.2766682434082,0.649390456835945,0.28572553003679635,0.004326927992343867,0.4676319557669498
imbalance_volumes - value_t+60min,47.537081451416014,64.13833970733963,0.5197613465785981,100.93454750061035,0.3443691850987981,0.4182870528201071,0.006272293746269895,1.0184268553908706
imbalance_prices - Long_t+75min,58.17306186676026,104.88490936577338,0.19127858996391298,61.05018856048584,0.5851992047825523,0.27522403783399535,0.004245411315995679,0.4867108821934553
imbalance_prices - Short_t+75min,58.18233631134033,104.88870024353005,0.1912200653553009,61.0007548904419,0.5876753944408404,0.27693687980821907,0.004270042484452027,0.4955430443805385
imbalance_volumes - value_t+75min,51.07463233947754,69.14051182512088,0.4421717631816864,106.06180488586426,0.35009974842089,0.4127432400333729,0.006668563084567438,1.1041316261931915
